Other	FALSE	Personal Accessories	111.54
F	68	Married	Other	FALSE	Golf Equipment	112.02
F	21	Single	Professional	TRUE	Personal Accessories	114.52
M	32	Single	Trades	TRUE	Mountaineering Equipment	153.75
M	36	Married	Other	FALSE	Outdoor Protection	155.96
M	36	Married	Other	FALSE	Outdoor Protection	164.78
M	36	Married	Other	FALSE	Outdoor Protection	161.46
F	58	Married	Other	FALSE	Golf Equipment	112.05
F	58	Married	Other	FALSE	Golf Equipment	111.02
F	58	Married	Other	FALSE	Golf Equipment	105.95
F	58	Married	Other	FALSE	Golf Equipment	107.31
F	36	Single	Other	FALSE	Outdoor Protection	130.96
F	28	Single	Retail	FALSE	Personal Accessories	102.6
F	28	Single	Professional	TRUE	Personal Accessories	116.97
F	28	Single	Professional	TRUE	Personal Accessories	119.04
F	33	Single	Professional	FALSE	Personal Accessories	127.82
M	39	Unspecified	Sales	FALSE	Outdoor Protection	137.74
M	39	Unspecified	Sales	FALSE	Outdoor Protection	142.5
M	39	Unspecified	Sales	FALSE	Outdoor Protection	143.3
M	24	Single	Sales	TRUE	Mountaineering Equipment	118.33
F	49	Married	Other	FALSE	Golf Equipment	114.13
F	29	Single	Student	TRUE	Personal Accessories	87.8
F	26	Married	Executive	FALSE	Personal Accessories	136.84
F	46	Married	Other	FALSE	Golf Equipment	110.39
F	27	Single	Sales	FALSE	Personal Accessories	112.22
F	28	Married	Executive	FALSE	Personal Accessories	144.26
F	31	Single	Other	FALSE	Personal Accessories	117.81
M	49	Married	Professional	FALSE	Golf Equipment	143.37
M	49	Married	Professional	FALSE	Golf Equipment	135.98
M	49	Married	Professional	FALSE	Golf Equipment	144.67
M	39	Married	Professional	FALSE	Golf Equipment	165.17
M	39	Married	Professional	FALSE	Golf Equipment	165.06
F	37	Married	Professional	FALSE	Golf Equipment	152.72
F	37	Married	Other	FALSE	Outdoor Protection	143.87
F	37	Married	Other	FALSE	Outdoor Protection	137.89
F	29	Single	Other	FALSE	Personal Accessories	106.61
F	29	Single	Other	FALSE	Personal Accessories	109.13
M	31	Single	Trades	TRUE	Mountaineering Equipment	148.66
M	26	Single	Professional	TRUE	Camping Equipment	143.95
F	42	Married	Other	FALSE	Outdoor Protection	135.49
M	25	Single	Other	FALSE	Mountaineering Equipment	126.78
M	25	Single	Other	FALSE	Mountaineering Equipment	128.1
F	38	Unspecified	Other	FALSE	Outdoor Protection	119.86
F	27	Single	Student	TRUE	Personal Accessories	87.48
F	27	Single	Student	TRUE	Personal Accessories	94.7
M	41	Single	Executive	FALSE	Outdoor Protection	167.46
M	41	Single	Executive	FALSE	Outdoor Protection	170.28
F	26	Single	Sales	FALSE	Personal Accessories	105.51
M	50	Married	Other	FALSE	Golf Equipment	127.37
F	43	Married	Other	FALSE	Outdoor Protection	143.79
F	43	Married	Other	FALSE	Outdoor Protection	138.86
M	19	Single	Sales	FALSE	Personal Accessories	112.41
M	19	Single	Sales	FALSE	Personal Accessories	114.43
F	37	Married	Other	FALSE	Outdoor Protection	141.66
F	37	Married	Other	FALSE	Outdoor Protection	143.66
F	37	Married	Other	FALSE	Outdoor Protection	138.73
F	37	Married	Other	FALSE	Outdoor Protection	144.92
F	37	Married	Other	FALSE	Outdoor Protection	144.53
F	28	Single	Professional	TRUE	Personal Accessories	121.81
M	39	Married	Other	FALSE	Outdoor Protection	157.65
M	39	Married	Other	FALSE	Outdoor Protection	157.83
F	33	Married	Executive	FALSE	Golf Equipment	154.9
F	25	Single	Retail	FALSE	Personal Accessories	103.69
M	25	Single	Professional	TRUE	Camping Equipment	143.39
F	39	Married	Executive	FALSE	Golf Equipment	162.34
M	38	Unspecified	Trades	TRUE	Camping Equipment	149.18
F	51	Married	Professional	FALSE	Golf Equipment	115.88
F	51	Married	Professional	FALSE	Golf Equipment	116.78
F	43	Married	Other	FALSE	Outdoor Protection	136.66
M	44	Single	Other	FALSE	Outdoor Protection	151.99
M	44	Single	Other	FALSE	Outdoor Protection	153.33
F	47	Married	Professional	FALSE	Golf Equipment	117.02
M	34	Married	Trades	TRUE	Camping Equipment	157.56
F	32	Married	Other	FALSE	Camping Equipment	134.22
F	29	Single	Retail	FALSE	Personal Accessories	97.35
F	29	Single	Other	FALSE	Personal Accessories	108.49
M	40	Married	Other	FALSE	Outdoor Protection	162.26
M	40	Married	Other	FALSE	Outdoor Protection	156.4
F	68	Married	Retired	FALSE	Golf Equipment	100.76
M	20	Single	Professional	TRUE	Personal Accessories	134.62
F	29	Single	Professional	TRUE	Personal Accessories	116.23
F	46	Married	Hospitality	FALSE	Outdoor Protection	113.08
F	25	Single	Other	FALSE	Personal Accessories	113.45
F	36	Married	Other	FALSE	Outdoor Protection	138.02
F	40	Married	Other	FALSE	Outdoor Protection	143.01
F	40	Married	Other	FALSE	Outdoor Protection	137.19
F	40	Married	Other	FALSE	Outdoor Protection	142.13
M	38	Single	Executive	FALSE	Outdoor Protection	169.99
M	38	Single	Executive	FALSE	Outdoor Protection	167.08
F	30	Married	Other	FALSE	Camping Equipment	126.02
M	21	Single	Trades	TRUE	Mountaineering Equipment	134.29
M	21	Single	Trades	TRUE	Mountaineering Equipment	130.48
M	21	Single	Trades	TRUE	Mountaineering Equipment	125.74
M	21	Single	Professional	TRUE	Personal Accessories	130.18
M	21	Single	Professional	TRUE	Personal Accessories	131.77
M	47	Married	Retired	FALSE	Golf Equipment	116.85
F	23	Single	Other	FALSE	Personal Accessories	100.29
F	30	Married	Other	FALSE	Camping Equipment	133.42
M	22	Single	Professional	TRUE	Personal Accessories	125.5
M	22	Single	Professional	TRUE	Personal Accessories	127.16
M	22	Single	Professional	TRUE	Personal Accessories	131.41
M	40	Married	Sales	FALSE	Outdoor Protection	160.04
M	40	Married	Sales	FALSE	Outdoor Protection	155.36
M	31	Married	Other	FALSE	Camping Equipment	153.95
M	33	Single	Other	FALSE	Mountaineering Equipment	136.16
M	33	Single	Other	FALSE	Mountaineering Equipment	138.05
F	24	Single	Student	TRUE	Personal Accessories	80.29
F	38	Single	Professional	FALSE	Personal Accessories	140.29
F	53	Married	Other	FALSE	Golf Equipment	113.1
F	53	Married	Other	FALSE	Golf Equipment	111.1
F	53	Married	Other	FALSE	Golf Equipment	106.68
F	47	Married	Professional	FALSE	Golf Equipment	121.12
F	38	Unspecified	Hospitality	FALSE	Outdoor Protection	123.44
M	27	Married	Professional	TRUE	Camping Equipment	148.86
M	33	Single	Other	FALSE	Mountaineering Equipment	141.52
M	33	Single	Other	FALSE	Mountaineering Equipment	142.58
M	39	Married	Other	FALSE	Outdoor Protection	156.63
M	39	Married	Other	FALSE	Outdoor Protection	159.68
F	31	Married	Other	FALSE	Camping Equipment	130.56
F	31	Married	Other	FALSE	Camping Equipment	126.95
F	25	Married	Retail	FALSE	Camping Equipment	111.14
F	25	Married	Retail	FALSE	Camping Equipment	112.59
F	26	Single	Professional	TRUE	Personal Accessories	124.26
M	35	Married	Other	FALSE	Outdoor Protection	161.91
F	41	Married	Other	FALSE	Outdoor Protection	139.58
M	40	Married	Professional	FALSE	Golf Equipment	174.89
M	40	Married	Professional	FALSE	Golf Equipment	169.62
M	40	Married	Professional	FALSE	Golf Equipment	166.72
M	40	Married	Professional	FALSE	Golf Equipment	174.91
F	18	Single	Student	FALSE	Personal Accessories	69.07
F	53	Married	Executive	FALSE	Golf Equipment	133.03
F	30	Married	Other	FALSE	Camping Equipment	131.08
M	31	Unspecified	Professional	TRUE	Camping Equipment	137.72
M	57	Married	Other	FALSE	Golf Equipment	131.63
M	57	Married	Other	FALSE	Golf Equipment	131.79
M	57	Married	Other	FALSE	Golf Equipment	132.37
F	34	Married	Executive	FALSE	Golf Equipment	151.13
F	39	Married	Other	FALSE	Outdoor Protection	142.18
F	39	Married	Other	FALSE	Outdoor Protection	141.69
M	23	Single	Sales	TRUE	Mountaineering Equipment	119.39
M	44	Single	Sales	FALSE	Outdoor Protection	151.36
F	32	Married	Other	FALSE	Camping Equipment	127.84
F	32	Married	Other	FALSE	Camping Equipment	126.04
F	54	Married	Other	FALSE	Golf Equipment	114.19
F	45	Married	Other	FALSE	Golf Equipment	110.34
M	36	Married	Professional	FALSE	Golf Equipment	172.72
M	24	Single	Sales	TRUE	Mountaineering Equipment	119
F	30	Single	Other	FALSE	Personal Accessories	116.85
M	38	Married	Sales	FALSE	Outdoor Protection	160.57
M	37	Married	Sales	FALSE	Outdoor Protection	161.66
M	35	Single	Sales	FALSE	Outdoor Protection	153.69
F	41	Married	Retired	FALSE	Golf Equipment	132.73
M	24	Single	Sales	TRUE	Mountaineering Equipment	123.84
M	24	Single	Sales	TRUE	Mountaineering Equipment	116.22
M	24	Single	Sales	TRUE	Mountaineering Equipment	116.94
M	19	Single	Trades	FALSE	Personal Accessories	117.21
F	27	Married	Professional	TRUE	Camping Equipment	126.79
